fecha,anio,mes_num,departamento,municipio,pasajeros_aereos_nacionales
2012-04-01,2012,4,LA GUAJIRA,Uribia,1109
2012-04-01,2012,4,MAGDALENA,Santa Marta,34746
2012-04-01,2012,4,META,La Macarena,41
2012-04-01,2012,4,META,Villavicencio,2474
2012-04-01,2012,4,NARINO,Ipiales,234
2012-04-01,2012,4,NARINO,Pasto,8104
2012-04-01,2012,4,NARINO,San Andres de Tumaco,2485
2012-04-01,2012,4,NORTE DE SANTANDER,Cúcuta,31539
2012-04-01,2012,4,PUTUMAYO,Puerto Asís,1566
2012-04-01,2012,4,PUTUMAYO,Puerto Leguízamo,477
2012-04-01,2012,4,PUTUMAYO,Villagarzón,486
2012-04-01,2012,4,QUINDIO,Armenia,9923
2012-04-01,2012,4,RISARALDA,Pereira,25960
2012-04-01,2012,4,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",Providencia,748
2012-04-01,2012,4,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",San Andrés,28070
2012-04-01,2012,4,SANTANDER,Barrancabermeja,7071
2012-04-01,2012,4,SANTANDER,Bucaramanga,43741
2012-04-01,2012,4,SIN ESPECIFICAR,Sin Especificar,18
2012-04-01,2012,4,SUCRE,Corozal,1226
2012-04-01,2012,4,SUCRE,Coveñas,0
2012-04-01,2012,4,SUCRE,Santiago de Tolú,209
2012-04-01,2012,4,TOLIMA,Ibagué,5236
2012-04-01,2012,4,TOLIMA,Melgar,0
2012-04-01,2012,4,TOLIMA,natagaima,0
2012-04-01,2012,4,VALLE DEL CAUCA,Buenaventura,216
2012-04-01,2012,4,VALLE DEL CAUCA,Cali,93842
2012-04-01,2012,4,VAUPES,Caruru,81
2012-04-01,2012,4,VAUPES,Mitú,875
2012-04-01,2012,4,VAUPES,Pacoa,5
2012-04-01,2012,4,VAUPES,Taraira,6
2012-04-01,2012,4,VICHADA,Cumaribo,429
2012-04-01,2012,4,VICHADA,La Primavera,0
2012-04-01,2012,4,VICHADA,Puerto Carreño,1141
2012-05-01,2012,5,AMAZONAS,LA CHORRERA,51
2012-05-01,2012,5,AMAZONAS,La Pedrera,104
2012-05-01,2012,5,AMAZONAS,Leticia,5243
2012-05-01,2012,5,AMAZONAS,Tarapacá,93
2012-05-01,2012,5,ANTIOQUIA,Carepa,7078
2012-05-01,2012,5,ANTIOQUIA,Caucasia,1276
2012-05-01,2012,5,ANTIOQUIA,El Bagre,448
2012-05-01,2012,5,ANTIOQUIA,Medellín,35600
2012-05-01,2012,5,ANTIOQUIA,Remedios,380
2012-05-01,2012,5,ANTIOQUIA,Rionegro,124562
2012-05-01,2012,5,ARAUCA,Arauca,4343
2012-05-01,2012,5,ARAUCA,Cravo Norte,0
2012-05-01,2012,5,ARAUCA,Tame,137
2012-05-01,2012,5,ATLANTICO,Barranquilla,58687
2012-05-01,2012,5,BOGOTA D.C.,"Bogotá, D.C.",465342
2012-05-01,2012,5,BOLIVAR,Cartagena,74002
2012-05-01,2012,5,CALDAS,Manizales,7734
2012-05-01,2012,5,CAQUETA,Florencia,2781
2012-05-01,2012,5,CAQUETA,San Vicente del Caguán,57
2012-05-01,2012,5,CAQUETA,Solano,0
2012-05-01,2012,5,CASANARE,Paz de Ariporo,16
2012-05-01,2012,5,CASANARE,Yopal,13461
2012-05-01,2012,5,CAUCA,Guapi,642
2012-05-01,2012,5,CAUCA,Popayán,3458
2012-05-01,2012,5,CESAR,Valledupar,9718
2012-05-01,2012,5,CHOCO,Acandí,319
2012-05-01,2012,5,CHOCO,Bahía Solano,885
2012-05-01,2012,5,CHOCO,Condoto,219
2012-05-01,2012,5,CHOCO,Nuquí,366
2012-05-01,2012,5,CHOCO,Quibdó,10162
2012-05-01,2012,5,CORDOBA,Montería,21087
2012-05-01,2012,5,GUAINIA,Barranco Minas,9
2012-05-01,2012,5,GUAINIA,Inírida,893
2012-05-01,2012,5,GUAVIARE,Miraflores,75
2012-05-01,2012,5,GUAVIARE,San José del Guaviare,633
2012-05-01,2012,5,HUILA,Neiva,12078
2012-05-01,2012,5,LA GUAJIRA,Maicao,2951
2012-05-01,2012,5,LA GUAJIRA,Riohacha,3410
2012-05-01,2012,5,LA GUAJIRA,Uribia,1064
2012-05-01,2012,5,MAGDALENA,Santa Marta,35375
2012-05-01,2012,5,META,La Macarena,59
2012-05-01,2012,5,META,Villavicencio,2711
2012-05-01,2012,5,NARINO,Ipiales,272
2012-05-01,2012,5,NARINO,Pasto,9017
2012-05-01,2012,5,NARINO,San Andres de Tumaco,2384
2012-05-01,2012,5,NORTE DE SANTANDER,Cúcuta,31617
2012-05-01,2012,5,PUTUMAYO,Puerto Asís,1706
2012-05-01,2012,5,PUTUMAYO,Puerto Leguízamo,391
2012-05-01,2012,5,PUTUMAYO,Villagarzón,605
2012-05-01,2012,5,QUINDIO,Armenia,11264
2012-05-01,2012,5,RISARALDA,Pereira,29431
2012-05-01,2012,5,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",Providencia,669
2012-05-01,2012,5,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",San Andrés,29525
2012-05-01,2012,5,SANTANDER,Barrancabermeja,8081
2012-05-01,2012,5,SANTANDER,Bucaramanga,48523
2012-05-01,2012,5,SIN ESPECIFICAR,Sin Especificar,0
2012-05-01,2012,5,SUCRE,Corozal,1243
2012-05-01,2012,5,SUCRE,Coveñas,0
2012-05-01,2012,5,SUCRE,Santiago de Tolú,164
2012-05-01,2012,5,TOLIMA,Ibagué,6335
2012-05-01,2012,5,TOLIMA,natagaima,0
2012-05-01,2012,5,VALLE DEL CAUCA,Buenaventura,331
2012-05-01,2012,5,VALLE DEL CAUCA,Cali,101121
2012-05-01,2012,5,VAUPES,Caruru,43
2012-05-01,2012,5,VAUPES,Mitú,916
2012-05-01,2012,5,VAUPES,Pacoa,6
2012-05-01,2012,5,VAUPES,Taraira,9
2012-05-01,2012,5,VICHADA,Cumaribo,346
2012-05-01,2012,5,VICHADA,La Primavera,0
2012-05-01,2012,5,VICHADA,Puerto Carreño,1140
2012-06-01,2012,6,AMAZONAS,LA CHORRERA,83
2012-06-01,2012,6,AMAZONAS,La Pedrera,101
2012-06-01,2012,6,AMAZONAS,Leticia,6705
2012-06-01,2012,6,AMAZONAS,Tarapacá,93
2012-06-01,2012,6,ANTIOQUIA,Carepa,7177
2012-06-01,2012,6,ANTIOQUIA,Caucasia,1220
2012-06-01,2012,6,ANTIOQUIA,El Bagre,449
2012-06-01,2012,6,ANTIOQUIA,Medellín,37346
2012-06-01,2012,6,ANTIOQUIA,Remedios,393
2012-06-01,2012,6,ANTIOQUIA,Rionegro,152782
2012-06-01,2012,6,ARAUCA,Arauca,4476
2012-06-01,2012,6,ARAUCA,Tame,294
2012-06-01,2012,6,ATLANTICO,Barranquilla,71568
2012-06-01,2012,6,BOGOTA D.C.,"Bogotá, D.C.",484235
2012-06-01,2012,6,BOLIVAR,Cartagena,103637
2012-06-01,2012,6,CALDAS,Manizales,2825
2012-06-01,2012,6,CAQUETA,Florencia,2512
2012-06-01,2012,6,CAQUETA,San Vicente del Caguán,59
2012-06-01,2012,6,CAQUETA,Solano,0
2012-06-01,2012,6,CASANARE,Orocué,0
2012-06-01,2012,6,CASANARE,Paz de Ariporo,86
2012-06-01,2012,6,CASANARE,Yopal,13431
2012-06-01,2012,6,CAUCA,Guapi,602
2012-06-01,2012,6,CAUCA,Popayán,3334
