fecha,anio,mes_num,departamento,pasajeros_aereos_nacionales,n_municipios_nac
2013-02-01,2013,2,VICHADA,1765,3
2013-03-01,2013,3,AMAZONAS,6552,4
2013-03-01,2013,3,ANTIOQUIA,243553,7
2013-03-01,2013,3,ARAUCA,4449,2
2013-03-01,2013,3,ATLANTICO,73919,1
2013-03-01,2013,3,BOGOTA D.C.,530678,1
2013-03-01,2013,3,BOLIVAR,117155,1
2013-03-01,2013,3,CALDAS,8439,1
2013-03-01,2013,3,CAQUETA,3248,3
2013-03-01,2013,3,CASANARE,15581,2
2013-03-01,2013,3,CAUCA,3592,2
2013-03-01,2013,3,CESAR,12070,2
2013-03-01,2013,3,CHOCO,14986,5
2013-03-01,2013,3,CORDOBA,27056,1
2013-03-01,2013,3,GUAINIA,1023,2
2013-03-01,2013,3,GUAVIARE,1232,2
2013-03-01,2013,3,HUILA,11970,1
2013-03-01,2013,3,LA GUAJIRA,6202,3
2013-03-01,2013,3,MAGDALENA,50074,1
2013-03-01,2013,3,META,3533,2
2013-03-01,2013,3,NARINO,12737,3
2013-03-01,2013,3,NORTE DE SANTANDER,33570,1
2013-03-01,2013,3,PUTUMAYO,3137,3
2013-03-01,2013,3,QUINDIO,10024,1
2013-03-01,2013,3,RISARALDA,40056,1
2013-03-01,2013,3,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",39194,2
2013-03-01,2013,3,SANTANDER,64825,2
2013-03-01,2013,3,SIN ESPECIFICAR,0,1
2013-03-01,2013,3,SUCRE,1945,3
2013-03-01,2013,3,TOLIMA,5787,2
2013-03-01,2013,3,VALLE DEL CAUCA,131812,2
2013-03-01,2013,3,VAUPES,788,4
2013-03-01,2013,3,VICHADA,1856,3
2013-04-01,2013,4,AMAZONAS,6012,4
2013-04-01,2013,4,ANTIOQUIA,240512,6
2013-04-01,2013,4,ARAUCA,5140,2
2013-04-01,2013,4,ATLANTICO,69379,1
2013-04-01,2013,4,BOGOTA D.C.,550103,1
2013-04-01,2013,4,BOLIVAR,102561,1
2013-04-01,2013,4,CALDAS,8445,1
2013-04-01,2013,4,CAQUETA,3131,3
2013-04-01,2013,4,CASANARE,16669,2
2013-04-01,2013,4,CAUCA,3693,2
2013-04-01,2013,4,CESAR,13644,1
2013-04-01,2013,4,CHOCO,15129,5
2013-04-01,2013,4,CORDOBA,24100,1
2013-04-01,2013,4,GUAINIA,1074,2
2013-04-01,2013,4,GUAVIARE,1132,2
2013-04-01,2013,4,HUILA,12358,1
2013-04-01,2013,4,LA GUAJIRA,8040,3
2013-04-01,2013,4,MAGDALENA,45654,1
2013-04-01,2013,4,META,3622,2
2013-04-01,2013,4,NARINO,11830,3
2013-04-01,2013,4,NORTE DE SANTANDER,32171,1
2013-04-01,2013,4,PUTUMAYO,3376,3
2013-04-01,2013,4,QUINDIO,9181,1
2013-04-01,2013,4,RISARALDA,38225,1
2013-04-01,2013,4,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",33695,2
2013-04-01,2013,4,SANTANDER,64374,2
2013-04-01,2013,4,SIN ESPECIFICAR,0,1
2013-04-01,2013,4,SUCRE,1657,2
2013-04-01,2013,4,TOLIMA,5954,1
2013-04-01,2013,4,VALLE DEL CAUCA,134708,2
2013-04-01,2013,4,VAUPES,658,3
2013-04-01,2013,4,VICHADA,1527,3
2013-05-01,2013,5,AMAZONAS,7028,4
2013-05-01,2013,5,ANTIOQUIA,257232,6
2013-05-01,2013,5,ARAUCA,5162,2
2013-05-01,2013,5,ATLANTICO,75199,1
2013-05-01,2013,5,BOGOTA D.C.,582630,1
2013-05-01,2013,5,BOLIVAR,114707,1
2013-05-01,2013,5,CALDAS,7758,1
2013-05-01,2013,5,CAQUETA,3325,4
2013-05-01,2013,5,CASANARE,17239,2
2013-05-01,2013,5,CAUCA,3780,2
2013-05-01,2013,5,CESAR,13436,1
2013-05-01,2013,5,CHOCO,15331,5
2013-05-01,2013,5,CORDOBA,27677,1
2013-05-01,2013,5,GUAINIA,979,2
2013-05-01,2013,5,GUAVIARE,1000,2
2013-05-01,2013,5,HUILA,13025,1
2013-05-01,2013,5,LA GUAJIRA,8905,3
2013-05-01,2013,5,MAGDALENA,50797,1
2013-05-01,2013,5,META,3712,2
2013-05-01,2013,5,NARINO,11590,3
2013-05-01,2013,5,NORTE DE SANTANDER,35443,1
2013-05-01,2013,5,PUTUMAYO,3418,3
2013-05-01,2013,5,QUINDIO,10409,1
2013-05-01,2013,5,RISARALDA,42374,1
2013-05-01,2013,5,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",37834,2
2013-05-01,2013,5,SANTANDER,70319,2
2013-05-01,2013,5,SIN ESPECIFICAR,0,1
2013-05-01,2013,5,SUCRE,1792,3
2013-05-01,2013,5,TOLIMA,5942,1
2013-05-01,2013,5,VALLE DEL CAUCA,146657,2
2013-05-01,2013,5,VAUPES,910,4
2013-05-01,2013,5,VICHADA,1515,3
2013-06-01,2013,6,AMAZONAS,8394,4
2013-06-01,2013,6,ANTIOQUIA,271834,6
2013-06-01,2013,6,ARAUCA,4775,2
