fecha,anio,mes_num,departamento,visitantes_no_residentes,n_registros_origen,n_ciudades,n_paises_residencia
2015-11-01,2015,11,LA GUAJIRA,78.0,28,5,22
2015-11-01,2015,11,MAGDALENA,1637.0,81,8,61
2015-11-01,2015,11,META,296.0,56,10,33
2015-11-01,2015,11,NARINO,1359.0,90,12,47
2015-11-01,2015,11,NORTE DE SANTANDER,808.0,72,13,48
2015-11-01,2015,11,PUTUMAYO,49.0,22,8,15
2015-11-01,2015,11,QUINDIO,766.0,81,9,40
2015-11-01,2015,11,RISARALDA,1617.0,95,10,56
2015-11-01,2015,11,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2661.064,73,2,50
2015-11-01,2015,11,SANTANDER,1210.0,132,17,59
2015-11-01,2015,11,SIN ESPECIFICAR,39.0,17,1,17
2015-11-01,2015,11,SUCRE,61.0,29,7,19
2015-11-01,2015,11,TOLIMA,377.0,68,15,38
2015-11-01,2015,11,VALLE DEL CAUCA,6922.57,372,35,95
2015-11-01,2015,11,VAUPES,2.0,2,1,2
2015-11-01,2015,11,VICHADA,2.0,2,2,2
2015-12-01,2015,12,AMAZONAS,311.0,42,4,39
2015-12-01,2015,12,ANTIOQUIA,10359.193,369,62,107
2015-12-01,2015,12,ARAUCA,19.0,10,2,10
2015-12-01,2015,12,ATLANTICO,3121.516,121,16,73
2015-12-01,2015,12,BOGOTA D.C.,13016.426,144,1,144
2015-12-01,2015,12,BOLIVAR,8920.716,161,20,112
2015-12-01,2015,12,BOYACA,466.0,152,35,40
2015-12-01,2015,12,CALDAS,1311.0,126,22,47
2015-12-01,2015,12,CAQUETA,47.0,15,4,14
2015-12-01,2015,12,CASANARE,94.0,25,3,20
2015-12-01,2015,12,CAUCA,491.0,74,21,37
2015-12-01,2015,12,CESAR,276.0,54,14,34
2015-12-01,2015,12,CHOCO,289.0,52,11,35
2015-12-01,2015,12,CORDOBA,347.0,80,19,32
2015-12-01,2015,12,CUNDINAMARCA,1301.0,369,56,50
2015-12-01,2015,12,GUAINIA,9.0,2,1,2
2015-12-01,2015,12,GUAVIARE,2.0,2,1,2
2015-12-01,2015,12,HUILA,549.0,82,17,30
2015-12-01,2015,12,LA GUAJIRA,129.0,40,8,24
2015-12-01,2015,12,MAGDALENA,2149.0,95,13,60
2015-12-01,2015,12,META,487.0,68,10,39
2015-12-01,2015,12,NARINO,1645.0,108,20,49
2015-12-01,2015,12,NORTE DE SANTANDER,1336.0,85,12,50
2015-12-01,2015,12,PUTUMAYO,62.0,23,7,13
2015-12-01,2015,12,QUINDIO,1751.0,118,9,46
2015-12-01,2015,12,RISARALDA,2317.298,143,13,57
2015-12-01,2015,12,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",3615.679,73,2,54
2015-12-01,2015,12,SANTANDER,2535.0,188,30,60
2015-12-01,2015,12,SIN ESPECIFICAR,8.0,3,1,3
2015-12-01,2015,12,SUCRE,140.0,50,10,31
2015-12-01,2015,12,TOLIMA,900.0,125,27,48
2015-12-01,2015,12,VALLE DEL CAUCA,11118.746,479,39,96
2015-12-01,2015,12,VAUPES,2.0,2,1,2
2015-12-01,2015,12,VICHADA,2.0,2,1,2
2016-01-01,2016,1,AMAZONAS,280.0,41,3,37
2016-01-01,2016,1,ANTIOQUIA,10204.351,338,61,112
2016-01-01,2016,1,ARAUCA,13.0,8,3,6
2016-01-01,2016,1,ATLANTICO,2739.555,118,12,76
2016-01-01,2016,1,BOGOTA D.C.,12706.021,146,1,146
2016-01-01,2016,1,BOLIVAR,7880.802,155,18,116
2016-01-01,2016,1,BOYACA,395.0,123,30,36
2016-01-01,2016,1,CALDAS,763.0,85,15,41
2016-01-01,2016,1,CAQUETA,22.0,7,1,7
2016-01-01,2016,1,CASANARE,59.0,17,4,15
2016-01-01,2016,1,CAUCA,331.0,59,11,38
2016-01-01,2016,1,CESAR,142.0,46,10,30
2016-01-01,2016,1,CHOCO,404.0,52,10,35
2016-01-01,2016,1,CORDOBA,186.0,54,15,31
2016-01-01,2016,1,CUNDINAMARCA,854.0,310,55,57
2016-01-01,2016,1,GUAINIA,22.0,2,1,2
2016-01-01,2016,1,GUAVIARE,2.0,2,2,2
2016-01-01,2016,1,HUILA,252.0,62,10,31
2016-01-01,2016,1,LA GUAJIRA,151.0,38,6,22
2016-01-01,2016,1,MAGDALENA,2409.0,81,12,60
2016-01-01,2016,1,META,379.0,65,13,33
2016-01-01,2016,1,NARINO,1233.0,114,24,54
2016-01-01,2016,1,NORTE DE SANTANDER,1027.0,73,12,51
2016-01-01,2016,1,PUTUMAYO,66.0,24,7,16
2016-01-01,2016,1,QUINDIO,947.0,84,10,41
2016-01-01,2016,1,RISARALDA,1712.0,114,12,60
2016-01-01,2016,1,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",3573.422,71,2,51
2016-01-01,2016,1,SANTANDER,1472.0,139,19,55
2016-01-01,2016,1,SIN ESPECIFICAR,4.0,4,1,4
2016-01-01,2016,1,SUCRE,97.0,37,7,24
2016-01-01,2016,1,TOLIMA,359.0,68,14,37
2016-01-01,2016,1,VALLE DEL CAUCA,8365.97,402,39,97
2016-01-01,2016,1,VAUPES,9.0,5,2,5
2016-01-01,2016,1,VICHADA,4.0,3,1,3
2016-02-01,2016,2,AMAZONAS,346.0,41,4,37
2016-02-01,2016,2,ANTIOQUIA,10022.08,306,54,101
2016-02-01,2016,2,ARAUCA,13.0,8,4,5
2016-02-01,2016,2,ATLANTICO,2989.384,115,15,79
2016-02-01,2016,2,BOGOTA D.C.,12547.56,148,1,148
2016-02-01,2016,2,BOLIVAR,8340.718,141,12,113
2016-02-01,2016,2,BOYACA,326.0,109,19,35
2016-02-01,2016,2,CALDAS,465.0,74,19,38
2016-02-01,2016,2,CAQUETA,33.0,12,2,11
2016-02-01,2016,2,CASANARE,53.0,18,5,14
